400001|100001|20001|2025-08-20|
400002|100001|20003|2025-08-20|
400003|100002|20004|2025-08-21|
400004|100003|20005|2025-08-22|
400005|100004|20001|2025-08-23|
400006|100005|20003|2025-08-24|
400007|100006|20004|2025-08-25|
400008|100007|20006|2025-08-25|
400009|100008|20009|2025-08-26|
400010|100009|20008|2025-08-27|
400011|100010|20007|2025-08-28|
400012|100011|20002|2025-08-28|
400013|100012|20003|2025-08-29|
400014|100013|20006|2025-08-29|
400015|100014|20004|2025-08-30|
400016|100015|20001|2025-08-30|
400017|100016|20012|2025-08-31|
400018|100017|20013|2025-08-31|
400019|100018|20014|2025-09-01|
400020|100019|20015|2025-09-01|
400021|100020|20016|2025-09-02|
400022|100021|20017|2025-09-02|
400023|100022|20012|2025-09-03|
400024|100023|20018|2025-09-03|
400025|100024|20019|2025-09-04|
400026|100025|20020|2025-09-04|
400027|100026|20013|2025-09-05|
400028|100027|20014|2025-09-05|
400029|100028|20001|2025-09-06|
400030|100029|20008|2025-09-06|
400031|100030|20020|2025-09-07|
